user_id,date
002b74eac2cc17ed73924292af0c23f7,2020-07-23
002b74eac2cc17ed73924292af0c23f7,2020-07-24
008281f5fc74d8e48bc5943da22cb40c,2020-07-27
008281f5fc74d8e48bc5943da22cb40c,2020-07-28
009c33ce2d02aa8acaafc205eaf50a66,2020-07-22
009c33ce2d02aa8acaafc205eaf50a66,2020-07-23
00a5733b8dc6ae0b6264f074d452f049,2020-07-22
00a5733b8dc6ae0b6264f074d452f049,2020-07-25
00d72abb95294a7d681481e1bfce933d,2020-07-22
00d72abb95294a7d681481e1bfce933d,2020-07-25
00d72abb95294a7d681481e1bfce933d,2020-07-26
00d72abb95294a7d681481e1bfce933d,2020-07-27
00d72abb95294a7d681481e1bfce933d,2020-07-28
00d72abb95294a7d681481e1bfce933d,2020-07-29
00e732f1e2945462944ed45bb17abced,2020-07-22
00e732f1e2945462944ed45bb17abced,2020-07-24
00e732f1e2945462944ed45bb17abced,2020-07-26
00f3c19d95a621e3da08bb90564f1bbd,2020-07-24
00f3c19d95a621e3da08bb90564f1bbd,2020-07-27
00f3c19d95a621e3da08bb90564f1bbd,2020-07-29
00f946f95ee9faa62190b8078ec9d112,2020-07-22
00f946f95ee9faa62190b8078ec9d112,2020-07-25
00f946f95ee9faa62190b8078ec9d112,2020-07-27
00fd6e9095903999c98765d86cea68d2,2020-07-25
00fd6e9095903999c98765d86cea68d2,2020-07-28
00fd6e9095903999c98765d86cea68d2,2020-07-29
013f457351772537a6702d91daa515d1,2020-07-26
013f457351772537a6702d91daa515d1,2020-07-28
0150c56be69c5401a1dd2d34164e9d9f,2020-07-22
0150c56be69c5401a1dd2d34164e9d9f,2020-07-26
0150c56be69c5401a1dd2d34164e9d9f,2020-07-29
016ef8cec65cd249aa0512de92421cee,2020-07-23
016ef8cec65cd249aa0512de92421cee,2020-07-27
01870741118973ff9984bac2fccb7036,2020-07-22
01870741118973ff9984bac2fccb7036,2020-07-25
01870741118973ff9984bac2fccb7036,2020-07-28
0190ca85ca27a3a432f2918a1102d539,2020-07-22
0190ca85ca27a3a432f2918a1102d539,2020-07-23
0190ca85ca27a3a432f2918a1102d539,2020-07-27
0190ca85ca27a3a432f2918a1102d539,2020-07-29
01aeae8ca74c56a7e041ce506a5062d7,2020-07-22
01aeae8ca74c56a7e041ce506a5062d7,2020-07-26
01aeae8ca74c56a7e041ce506a5062d7,2020-07-29
01d7377a16941876910b907e3ac19ff0,2020-07-26
01d7377a16941876910b907e3ac19ff0,2020-07-27
01eecfbec8a40d940326f72d79e51abf,2020-07-24
01eecfbec8a40d940326f72d79e51abf,2020-07-25
0216a094f44af838d1d82d1ca149cc65,2020-07-24
0216a094f44af838d1d82d1ca149cc65,2020-07-25
0216a094f44af838d1d82d1ca149cc65,2020-07-28
0216a094f44af838d1d82d1ca149cc65,2020-07-29
02347d62266f54e6a6fa55df81481869,2020-07-24
02347d62266f54e6a6fa55df81481869,2020-07-26
0239068583a11f3e8779a7fd952e730e,2020-07-22
0239068583a11f3e8779a7fd952e730e,2020-07-29
025b8b51deab400d26b9efdfe08f18d2,2020-07-25
025b8b51deab400d26b9efdfe08f18d2,2020-07-26
02be5bd520b4f401e1ae9835bb77b694,2020-07-25
02be5bd520b4f401e1ae9835bb77b694,2020-07-26
02be5bd520b4f401e1ae9835bb77b694,2020-07-27
02ef3df48093e26836aa365152c6a555,2020-07-23
02ef3df48093e26836aa365152c6a555,2020-07-24
02ef3df48093e26836aa365152c6a555,2020-07-25
02ef3df48093e26836aa365152c6a555,2020-07-26
02ef3df48093e26836aa365152c6a555,2020-07-27
02ef3df48093e26836aa365152c6a555,2020-07-29
0368c6fa706fd9fd9643decb8864706a,2020-07-22
0368c6fa706fd9fd9643decb8864706a,2020-07-23
0368c6fa706fd9fd9643decb8864706a,2020-07-24
037529c515fbd5a2f37df5e53837d680,2020-07-25
037529c515fbd5a2f37df5e53837d680,2020-07-29
038cb62bfe49099306d17901918d5c9d,2020-07-22
038cb62bfe49099306d17901918d5c9d,2020-07-23
038cb62bfe49099306d17901918d5c9d,2020-07-27
03a57af2eef92eb0cf7b36812fd7fd0e,2020-07-22
03a57af2eef92eb0cf7b36812fd7fd0e,2020-07-23
